	index
CCNL1	1563
CCNL2	1564
CCNT1	1565
CCNT2	1566
CCNY	1567
CCNYL1	1568
CCP110	1569
CCR1	1570
CCR2	1571
CCR4	1572
CCR5	1573
CCR7	1574
CCR9	1575
CCRL2	1576
CCS	1577
CCSER1	1578
CCSER2	1579
CCT2	1580
CCT4	1581
CCT5	1582
CCT6A	1583
CCT6B	1584
CCT7	1585
CCT8	1586
CD101	1587
CD109	1588
CD151	1589
CD160	1590
CD163	1591
CD164L2	1592
CD180	1593
CD19	1594
CD1A	1595
CD1B	1596
CD1C	1597
CD1D	1598
CD1E	1599
CD2	1600
CD200	1601
CD200R1	1602
CD207	1603
CD209	1604
CD244	1605
CD247	1606
CD248	1607
CD27	1608
CD274	1609
CD276	1610
CD28	1611
CD2AP	1612
CD2BP2	1613
CD300A	1614
CD300C	1615
CD300E	1616
CD300LB	1617
CD300LF	1618
CD320	1619
CD33	1620
CD34	1621
CD37	1622
CD38	1623
CD3E	1624
CD3G	1625
CD40	1626
CD44	1627
CD46	1628
CD48	1629
CD5	1630
CD52	1631
CD53	1632
CD55	1633
CD58	1634
CD6	1635
CD63	1636
CD68	1637
CD69	1638
CD72	1639
CD79A	1640
CD79B	1641
CD83	1642
CD84	1643
CD86	1644
CD8A	1645
CD8B	1646
CD9	1647
CD93	1648
CD99L2	1649
CDA	1650
CDADC1	1651
CDAN1	1652
CDC123	1653
CDC14B	1654
CDC16	1655
CDC20	1656
CDC20B	1657
CDC23	1658
CDC25A	1659
CDC25B	1660
CDC25C	1661
CDC27	1662
CDC34	1663
CDC37	1664
CDC37L1	1665
CDC40	1666
CDC42BPA	1667
CDC42BPB	1668
CDC42BPG	1669
CDC42EP1	1670
CDC42EP2	1671
